SampleID,Subject,Date,Treatment,Description,Fdate,mdata1,mdata2,mdata3
10277111814,10277,111814,GC,,11/18/14,trx,ts,
10277111914,10277,111914,GC,,11/19/14,trx,ts,
10277112014,10277,112014,GC,,11/20/14,trx,ts,
10277112114,10277,112114,GC,,11/21/14,trx,ts,
10277112114P2,10277,112114,GC,plate2,11/21/14,trx,ts,
10277112214,10277,112214,GC,,11/22/14,trx,ts,
10277112314,10277,112314,GC,,11/23/14,trx,ts,
10277112414,10277,112414,GC,,11/24/14,trx,ts,
10277112514,10277,112514,GC,,11/25/14,trx,ts,
10277120114,10277,120114,GC,,12/1/14,trx,ts,
10277120314,10277,120314,GC,,12/3/14,trx,ts,
10277120414,10277,120414,GC,,12/4/14,trx,ts,
10277120514,10277,120514,GC,,12/5/14,trx,ts,
10277120614,10277,120614,GC,,12/6/14,trx,ts,
10277120714,10277,120714,GC,,12/7/14,trx,ts,
10277120914,10277,120914,GC,,12/9/14,trx,ts,
10277121014,10277,121014,GC,,12/10/14,trx,ts,
10277121114,10277,121114,GC,,12/11/14,trx,ts,
10277121214,10277,121214,GC,,12/12/14,trx,ts,
10277121314,10277,121314,GC,,12/13/14,trx,ts,
10277121414,10277,121414,GC,,12/14/14,trx,ts,
10277121514,10277,121514,GC,,12/15/14,trx,ts,
10277121614,10277,121614,GC,,12/16/14,trx,ts,
10277121714,10277,121714,GC,,12/17/14,trx,ts,
10277121914,10277,121914,GC,,12/19/14,trx,ts,
10277122014,10277,122014,GC,,12/20/14,trx,ts,
10277122114,10277,122114,GC,,12/21/14,trx,ts,
10283111814,10283,111814,GO,,11/18/14,trx,ts,
10283111914,10283,111914,GO,,11/19/14,trx,ts,
10283112014,10283,112014,GO,,11/20/14,trx,ts,
10283112114,10283,112114,GO,,11/21/14,trx,ts,
10283112214,10283,112214,GO,,11/22/14,trx,ts,
10283112314,10283,112314,GO,,11/23/14,trx,ts,
10283112414,10283,112414,GO,,11/24/14,trx,ts,
10283112514,10283,112514,GO,,11/25/14,trx,ts,
10283120114,10283,120114,GO,,12/1/14,trx,ts,
10283120214,10283,120214,GO,,12/2/14,trx,ts,
10283120314,10283,120314,GO,,12/3/14,trx,ts,
10283120414,10283,120414,GO,,12/4/14,trx,ts,
10283120514,10283,120514,GO,,12/5/14,trx,ts,
10283120614,10283,120614,GO,,12/6/14,trx,ts,
10283120714,10283,120714,GO,,12/7/14,trx,ts,
10283120814,10283,120814,GO,,12/8/14,trx,ts,
10283120914,10283,120914,GO,,12/9/14,trx,ts,
10283121014,10283,121014,GO,,12/10/14,trx,ts,
10283121114,10283,121114,GO,,12/11/14,trx,ts,
10283121214,10283,121214,GO,,12/12/14,trx,ts,
10283121314,10283,121314,GO,,12/13/14,trx,ts,
10283121414,10283,121414,GO,,12/14/14,trx,ts,
10283121514,10283,121514,GO,,12/15/14,trx,ts,
10283121714,10283,121714,GO,,12/17/14,trx,ts,
10283121814,10283,121814,GO,,12/18/14,trx,ts,
10283121914,10283,121914,GO,,12/19/14,trx,ts,
10283122014,10283,122014,GO,,12/20/14,trx,ts,
10283122114,10283,122114,GO,,12/21/14,trx,ts,
10284111814,10284,111814,GN,,11/18/14,trx,ts,
10284111914,10284,111914,GN,,11/19/14,trx,ts,
10284112014,10284,112014,GN,,11/20/14,trx,ts,
10284112114,10284,112114,GN,,11/21/14,trx,ts,
10284112214,10284,112214,GN,,11/22/14,trx,ts,
10284112314,10284,112314,GN,,11/23/14,trx,ts,
10284112414,10284,112414,GN,,11/24/14,trx,ts,
10284112514,10284,112514,GN,,11/25/14,trx,ts,
10284120114,10284,120114,GN,,12/1/14,trx,ts,
10284120314,10284,120314,GN,,12/3/14,trx,ts,
10284120414,10284,120414,GN,,12/4/14,trx,ts,
10284120514,10284,120514,GN,,12/5/14,trx,ts,
10284120614,10284,120614,GN,,12/6/14,trx,ts,
10284120714,10284,120714,GN,,12/7/14,trx,ts,
10284120914,10284,120914,GN,,12/9/14,trx,ts,
10284121014,10284,121014,GN,,12/10/14,trx,ts,
10284121114,10284,121114,GN,,12/11/14,trx,ts,
10284121214,10284,121214,GN,,12/12/14,trx,ts,
10284121314,10284,121314,GN,,12/13/14,trx,ts,
10284121414,10284,121414,GN,,12/14/14,trx,ts,
10284121514,10284,121514,GN,,12/15/14,trx,ts,
10284121614,10284,121614,GN,,12/16/14,trx,ts,
10284121714,10284,121714,GN,,12/17/14,trx,ts,
10284121814,10284,121814,GN,,12/18/14,trx,ts,
10284121914,10284,121914,GN,,12/19/14,trx,ts,
10284122014,10284,122014,GN,,12/20/14,trx,ts,
10284122114,10284,122114,GN,,12/21/14,trx,ts,
10287111814,10287,111814,GO,,11/18/14,trx,ts,
10287111914,10287,111914,GO,,11/19/14,trx,ts,
10287112014,10287,112014,GO,,11/20/14,trx,ts,
10287112114,10287,112114,GO,,11/21/14,trx,ts,
10287112314,10287,112314,GO,,11/23/14,trx,ts,
10287112414,10287,112414,GO,,11/24/14,trx,ts,
10287120114,10287,120114,GO,,12/1/14,trx,ts,
10287120214,10287,120214,GO,,12/2/14,trx,ts,
10287120214P2,10287,120214,GO,plate2,12/2/14,trx,ts,
10287120314,10287,120314,GO,,12/3/14,trx,ts,
10287120414,10287,120414,GO,,12/4/14,trx,ts,
10287120514,10287,120514,GO,,12/5/14,trx,ts,
10287120614,10287,120614,GO,,12/6/14,trx,ts,
10287120714,10287,120714,GO,,12/7/14,trx,ts,
10287120814,10287,120814,GO,,12/8/14,trx,ts,
10287120914,10287,120914,GO,,12/9/14,trx,ts,
10287121014,10287,121014,GO,,12/10/14,trx,ts,
10287121114,10287,121114,GO,,12/11/14,trx,ts,
10287121214,10287,121214,GO,,12/12/14,trx,ts,
10287121314,10287,121314,GO,,12/13/14,trx,ts,
10287121414,10287,121414,GO,,12/14/14,trx,ts,
10287121514,10287,121514,GO,,12/15/14,trx,ts,
10287121614,10287,121614,GO,,12/16/14,trx,ts,
10287121714,10287,121714,GO,,12/17/14,trx,ts,
10287121814,10287,121814,GO,,12/18/14,trx,ts,
10287121914,10287,121914,GO,,12/19/14,trx,ts,
10287122014,10287,122014,GO,,12/20/14,trx,ts,
10287122114,10287,122114,GO,,12/21/14,trx,ts,
10288111814,10288,111814,GC,,11/18/14,trx,ts,
10288111914,10288,111914,GC,,11/19/14,trx,ts,
10288112014,10288,112014,GC,,11/20/14,trx,ts,
10288112114,10288,112114,GC,,11/21/14,trx,ts,
